,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
5,Miguel Almirón,py PAR,FW,29-211,4,4,317,3.5,0,0,0,0,0,0,0,0,0.7,0.7,0.4,1,19,8,29,0,0,0,0,0,0.19,0.11,0.3,0.19,0.3
7,Anthony Gordon,eng ENG,FW,22-197,4,4,283,3.1,1,1,2,1,0,0,3,0,1,1,0.9,1.9,15,7,19,0.32,0.32,0.64,0.32,0.64,0.32,0.3,0.61,0.32,0.61
9,Alexander Isak,se SWE,FW,23-353,4,4,276,3.1,2,0,2,2,0,0,0,0,1.4,1.4,0.1,1.4,6,5,13,0.65,0,0.65,0.65,0.65,0.45,0.02,0.47,0.45,0.47
12,Callum Wilson,eng ENG,FW,31-194,4,0,100,1.1,2,0,2,2,0,0,0,0,1.4,1.4,0,1.5,1,0,9,1.8,0,1.8,1.8,1.8,1.3,0.02,1.32,1.3,1.32
13,Harvey Barnes,eng ENG,FW,25-274,4,0,94,1,1,1,2,1,0,0,1,0,0.7,0.7,0.9,1.5,7,3,8,0.96,0.96,1.91,0.96,1.91,0.63,0.83,1.46,0.63,1.46
17,Valentino Livramento,eng ENG,FW,20-301,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Jacob Murphy,eng ENG,FW,28-197,1,0,5,0.1,0,1,1,0,0,0,0,0,0,0,0.6,0.6,1,3,0,0,18,18,0,18,0,10.18,10.18,0,10.18
5,Matheus Cunha,br BRA,FW,24-105,4,4,340,3.8,1,0,1,1,0,0,0,0,1.9,1.9,0.6,2.5,13,9,14,0.26,0,0.26,0.26,0.26,0.49,0.17,0.66,0.49,0.66
9,Fábio Silva,pt POR,FW,21-052,4,3,214,2.4,0,0,0,0,0,0,0,0,1,1,0.2,1.2,4,8,10,0,0,0,0,0,0.44,0.09,0.52,0.44,0.52
15,Sasa Kalajdzic,at AUT,FW,26-064,3,0,19,0.2,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,0,0,0,4.74,0,4.74,4.74,4.74,1.22,0.6,1.83,1.22,1.83
2,Dominic Solanke,eng ENG,FW,25-360,4,4,360,4,2,1,3,2,0,0,0,0,1.8,1.8,0.3,2.1,6,6,22,0.5,0.25,0.75,0.5,0.75,0.45,0.08,0.54,0.45,0.54
8,Antoine Semenyo,gh GHA,FW,23-245,4,3,222,2.5,1,0,1,1,0,0,1,0,0.6,0.6,0.2,0.8,6,5,13,0.41,0,0.41,0.41,0.41,0.24,0.09,0.34,0.24,0.34
10,Justin Kluivert,nl NED,FW,24-127,4,2,188,2.1,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.5,5,9,13,0,0,0,0,0,0.15,0.07,0.22,0.15,0.22
11,Jaidon Anthony,eng ENG,FW,23-282,3,2,152,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,2,8,9,0,0,0,0,0,0.04,0,0.04,0.04,0.04
9,William Osula,dk DEN,FW,20-036,3,3,233,2.6,0,0,0,0,0,0,2,0,0.3,0.3,0,0.3,2,0,9,0,0,0,0,0,0.11,0,0.11,0.11,0.11
14,Oliver McBurnie,sct SCO,FW,27-097,2,1,110,1.2,0,1,1,0,0,0,0,0,0.4,0.4,0.4,0.8,0,1,2,0,0.82,0.82,0,0.82,0.32,0.35,0.68,0.32,0.68
15,Cameron Archer,eng ENG,FW,22-050,1,1,74,0.8,1,0,1,1,0,0,0,0,0.2,0.2,0,0.2,1,0,5,1.22,0,1.22,1.22,1.22,0.21,0,0.21,0.21,0.21
19,Antwoine Hackford,eng ENG,FW,19-173,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Neal Maupay,fr FRA,FW,27-026,2,1,111,1.2,0,0,0,0,0,0,0,0,1.4,1.4,0.1,1.5,1,0,6,0,0,0,0,0,1.16,0.05,1.22,1.16,1.22
14,Beto,gw GNB,FW,25-221,1,1,90,1,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.4,3,2,5,0,0,0,0,0,0.26,0.15,0.42,0.26,0.42
15,Dominic Calvert-Lewin,eng ENG,FW,26-177,1,1,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
16,Youssef Chermiti,pt POR,FW,19-108,1,0,25,0.3,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,1,2,0,0,0,0,0,0.2,0,0.2,0.2,0.2
18,Thomas Cannon,ie IRL,FW,20-255,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Carlton Morris,eng ENG,FW,27-267,3,3,270,3,1,1,2,0,1,1,0,0,1.4,0.6,0.2,0.8,4,12,21,0.33,0.33,0.67,0,0.33,0.46,0.06,0.52,0.2,0.25
6,Elijah Adebayo,eng ENG,FW,25-245,3,3,202,2.2,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,1,5,12,0,0,0,0,0,0.18,0.05,0.22,0.18,0.22
14,Jacob Brown,sct SCO,FW,25-152,3,0,68,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,3,0,8,0,0,0,0,0,0.24,0,0.24,0.24,0.24
7,Zeki Amdouni,ch SUI,FW,22-279,3,3,199,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,4,6,9,0,0,0,0,0,0.05,0.09,0.13,0.05,0.13
17,Anass Zaroury,ma MAR,FW,22-306,1,0,29,0.3,0,0,0,0,0,0,0,1,0,0,0,0.1,0,0,1,0,0,0,0,0,0.14,0.07,0.21,0.14,0.21
18,Aaron Ramsey,eng ENG,FW,20-231,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,Jay Rodriguez,eng ENG,FW,34-042,1,0,10,0.1,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,1,0,0,0,0,0,4.07,0,4.07,4.07,4.07
