,name,season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Att,Cmp%,PrgP,Carries,PrgC,Att,Att,Succ,Match Report
2,Richarlison,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 2–0,Tottenham,Bournemouth,Y,['FW'],59,0,0,0,0,2,1,1,0,26.0,0.0,0,0.0,0.3,0.3,0.0,2.0,0.0,10.0,13.0,3.0,76.9,2.0,17.0,1.0,13.0,3.0,1.0,Match Report
4,Richarlison,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Away,W 5–2,Tottenham,Burnley,N,['FW'],19,0,0,0,0,0,0,0,0,6.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,66.7,0.0,4.0,0.0,3.0,1.0,0.0,Match Report
1,Mohamed Salah,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,Y,"['RW', 'FW']",85,1,0,0,1,4,2,0,0,44,1,0,1,1.2,0.3,0.0,3,1,28,33,3,84.8,4,30,2,33,3,0,Match Report
2,Mohamed Salah,2023/2024,2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,Y,"['FW', 'RW', 'RM']",90,0,1,0,0,2,1,0,0,36,1,1,0,0.2,0.2,0.4,4,2,23,24,5,95.8,1,28,1,24,5,3,Match Report
2,Cody Gakpo,2023/2024,2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,Y,"['FW', 'LM']",57,0,0,0,0,0,0,0,0,19.0,0.0,1,2.0,0.0,0.0,0.0,1.0,0.0,5.0,8.0,4.0,62.5,2.0,14.0,2.0,8.0,4.0,1.0,Match Report
3,Cody Gakpo,2023/2024,2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,N,['FW'],26,0,0,0,0,0,0,0,0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,66.7,1.0,4.0,0.0,3.0,0.0,0.0,Match Report
0,Diogo Jota,2023/2024,2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,Y,['FW'],65,0,0,0,0,2,0,1,0,28,1,0,1,0.1,0.1,0.0,3,0,14,18,2,77.8,2,10,1,18,2,1,Match Report
1,Diogo Jota,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,Y,"['FW', 'RM']",75,1,0,0,0,5,2,0,0,56,1,1,0,0.7,0.7,0.2,4,1,26,37,4,70.3,0,33,3,37,4,2,Match Report
0,Darwin Nunez,2023/2024,2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,N,['FW'],25,0,0,0,0,2,0,0,0,13.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,3.0,83.3,1.0,9.0,1.0,6.0,3.0,2.0,Match Report
1,Darwin Nunez,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,N,['FW'],5,0,0,0,0,0,0,0,0,5.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,50.0,0.0,4.0,0.0,2.0,0.0,0.0,Match Report
2,Darwin Nunez,2023/2024,2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,N,['FW'],14,2,0,0,0,2,2,1,0,8.0,0.0,0,0.0,0.4,0.4,0.0,0.0,0.0,4.0,6.0,0.0,66.7,1.0,4.0,0.0,6.0,0.0,0.0,Match Report
3,Darwin Nunez,2023/2024,2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,Y,['FW'],64,0,1,0,0,5,0,0,0,24.0,1.0,0,0.0,1.1,1.1,0.5,2.0,1.0,7.0,11.0,0.0,63.6,3.0,16.0,2.0,11.0,0.0,0.0,Match Report
1,Kostas Tsimikas,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,N,"['LM', 'FW']",5,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,3,6,0,50.0,1,5,1,6,0,0,Match Report
1,Jarrod Bowen,2023/2024,2023-08-20,Sun,Premier League,Matchweek 2,Home,W 3–1,West Ham,Chelsea,Y,"['RW', 'FW']",90,0,0,0,0,2,2,0,0,24,1,0,1,0.4,0.4,0.0,4,1,9,12,0,75.0,0,13,2,12,0,0,Match Report
2,Jarrod Bowen,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 3–1,West Ham,Brighton,Y,"['RM', 'FW']",90,1,1,0,0,3,2,0,0,29,2,2,0,1.2,1.2,0.1,1,1,11,16,4,68.8,4,16,4,16,4,1,Match Report
3,Michail Antonio,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Away,D 1–1,West Ham,Bournemouth,Y,['FW'],77,0,0,0,0,0,0,1,0,29.0,1.0,0,1.0,0.0,0.0,0.0,3.0,0.0,7.0,14.0,5.0,50.0,1.0,17.0,1.0,14.0,5.0,3.0,Match Report
4,Michail Antonio,2023/2024,2023-08-20,Sun,Premier League,Matchweek 2,Home,W 3–1,West Ham,Chelsea,Y,['FW'],75,1,0,0,0,2,1,0,0,18.0,0.0,0,0.0,0.2,0.2,0.0,1.0,0.0,5.0,11.0,0.0,45.5,1.0,15.0,1.0,11.0,0.0,0.0,Match Report
5,Michail Antonio,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 3–1,West Ham,Brighton,Y,['FW'],78,1,0,0,0,3,2,0,0,22.0,1.0,0,1.0,0.7,0.7,0.3,3.0,2.0,7.0,10.0,4.0,70.0,0.0,11.0,3.0,10.0,4.0,3.0,Match Report
6,Michail Antonio,2023/2024,2023-09-01,Fri,Premier League,Matchweek 4,Away,W 2–1,West Ham,Luton Town,Y,['FW'],79,0,0,0,0,0,0,0,0,26.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,16.0,20.0,2.0,80.0,2.0,17.0,0.0,20.0,2.0,2.0,Match Report
1,Pablo Fornals,2023/2024,2023-08-20,Sun,Premier League,Matchweek 2,Home,W 3–1,West Ham,Chelsea,N,"['RW', 'FW']",15,0,0,0,0,1,1,0,0,9,0,1,0,0.1,0.1,0.0,2,0,6,7,1,85.7,0,7,1,7,1,1,Match Report
0,Danny Ings,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Away,D 1–1,West Ham,Bournemouth,N,['FW'],13,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.0,0,0,1,4,2,25.0,0,5,0,4,2,1,Match Report
2,Danny Ings,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 3–1,West Ham,Brighton,N,['FW'],6,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,2,3,0,66.7,0,3,0,3,0,0,Match Report
3,Danny Ings,2023/2024,2023-09-01,Fri,Premier League,Matchweek 4,Away,W 2–1,West Ham,Luton Town,N,['FW'],11,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,5,0,80.0,1,4,0,5,0,0,Match Report
1,Kai Havertz,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Home,W 2–1,Arsenal,Nott'ham Forest,Y,"['LM', 'FW']",90,0,0,0,0,2.0,0.0,0,0,65.0,1.0,1.0,1.0,0.1,0.1,0.2,3.0,0.0,47.0,54.0,1.0,87.0,4.0,54.0,3.0,54.0,1.0,0.0,Match Report
2,Kai Havertz,2023/2024,2023-08-21,Mon,Premier League,Matchweek 2,Away,W 1–0,Arsenal,Crystal Palace,Y,"['LM', 'FW', 'CM']",90,0,0,0,0,1.0,0.0,1,0,38.0,1.0,1.0,1.0,0.0,0.0,0.1,2.0,0.0,25.0,28.0,2.0,89.3,4.0,17.0,0.0,28.0,2.0,0.0,Match Report
1,Eddie Nketiah,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Home,W 2–1,Arsenal,Nott'ham Forest,Y,['FW'],73,1,0,0,0,3,1,0,0,26.0,1.0,0,1.0,0.2,0.2,0.0,1.0,0.0,16.0,16.0,3.0,100.0,0.0,14.0,0.0,16.0,3.0,0.0,Match Report
2,Eddie Nketiah,2023/2024,2023-08-21,Mon,Premier League,Matchweek 2,Away,W 1–0,Arsenal,Crystal Palace,Y,['FW'],78,0,0,0,0,3,0,0,0,18.0,0.0,0,0.0,0.8,0.8,0.1,6.0,1.0,9.0,12.0,4.0,75.0,1.0,16.0,3.0,12.0,4.0,2.0,Match Report
3,Eddie Nketiah,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Home,D 2–2,Arsenal,Fulham,N,['FW'],45,1,0,0,0,4,1,0,0,19.0,0.0,0,0.0,0.4,0.4,0.0,0.0,0.0,10.0,12.0,1.0,83.3,1.0,10.0,0.0,12.0,1.0,0.0,Match Report
4,Eddie Nketiah,2023/2024,2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–1,Arsenal,Manchester Utd,Y,['FW'],75,0,0,0,0,1,0,0,0,35.0,0.0,1,1.0,0.0,0.0,0.1,7.0,1.0,19.0,23.0,3.0,82.6,3.0,24.0,1.0,23.0,3.0,1.0,Match Report
3,Leandro Trossard,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Home,D 2–2,Arsenal,Fulham,Y,['FW'],45,0,0,0,0,0,0,0,0,25,0,0,1,0.0,0.0,0.7,6,0,15,21,0,71.4,1,14,1,21,0,0,Match Report
1,Gabriel Jesus,2023/2024,2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–1,Arsenal,Manchester Utd,N,['FW'],15,1,0,0,0,1,1,1,0,9.0,0.0,0,0.0,0.8,0.8,0.0,2.0,1.0,6.0,6.0,3.0,100.0,1.0,5.0,2.0,6.0,3.0,3.0,Match Report
0,Danny Welbeck,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Home,W 4–1,Brighton,Luton Town,Y,['FW'],77,0,0,0,0,4,1,0,0,26,0,0,1,0.3,0.3,0.0,3,0,12,14,1,85.7,1,16,2,14,1,1,Match Report
1,Danny Welbeck,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Away,W 4–1,Brighton,Wolves,Y,['FW'],56,0,0,0,0,2,1,0,0,33,0,0,2,0.2,0.2,0.1,6,2,19,22,0,86.4,2,22,3,22,0,0,Match Report
1,Joao Pedro,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Away,W 4–1,Brighton,Wolves,N,"['AM', 'FW']",34,0,0,0,0,1,0,1,0,22,2,0,1,0.2,0.2,0.0,2,0,9,10,3,90.0,0,11,1,10,3,1,Match Report
0,Evan Ferguson,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Home,W 4–1,Brighton,Luton Town,N,['FW'],13,1,0,0,0,2,1,0,0,10,0,0,0,0.9,0.9,0.1,1,0,6,6,1,100.0,1,8,0,6,1,0,Match Report
1,Evan Ferguson,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Away,W 4–1,Brighton,Wolves,N,['FW'],24,0,0,0,0,1,0,0,0,11,0,0,2,0.1,0.1,0.0,1,0,2,4,2,50.0,0,4,0,4,2,1,Match Report
2,Evan Ferguson,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Home,L 1–3,Brighton,West Ham,Y,['FW'],90,0,0,0,0,6,4,0,0,32,0,0,0,0.6,0.6,0.0,2,0,19,21,1,90.5,1,21,0,21,1,0,Match Report
3,Evan Ferguson,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Home,W 3–1,Brighton,Newcastle Utd,Y,['FW'],80,3,0,0,0,4,4,0,0,27,0,0,1,0.8,0.8,0.0,1,0,17,18,2,94.4,3,23,2,18,2,2,Match Report
2,Adam Lallana,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Home,W 3–1,Brighton,Newcastle Utd,N,['FW'],10,0,0,0,0,0,0,1,0,16,1,0,0,0.0,0.0,0.0,0,0,14,14,0,100.0,1,7,0,14,0,0,Match Report
0,Odsonne Edouard,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Away,W 1–0,Crystal Palace,Sheffield Utd,Y,['FW'],90,1,0,0,0,7,3,0,0,35.0,3.0,0,1.0,1.0,1.0,0.2,5.0,0.0,10.0,13.0,3.0,76.9,2.0,22.0,1.0,13.0,3.0,2.0,Match Report
1,Odsonne Edouard,2023/2024,2023-08-21,Mon,Premier League,Matchweek 2,Home,L 0–1,Crystal Palace,Arsenal,Y,['FW'],90,0,0,0,0,3,1,0,0,31.0,0.0,0,0.0,0.4,0.4,0.0,3.0,0.0,14.0,20.0,4.0,70.0,2.0,19.0,3.0,20.0,4.0,1.0,Match Report
2,Odsonne Edouard,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Away,D 1–1,Crystal Palace,Brentford,Y,['FW'],70,0,0,0,0,2,1,0,0,20.0,0.0,0,0.0,0.1,0.1,0.0,1.0,0.0,8.0,12.0,1.0,66.7,0.0,14.0,3.0,12.0,1.0,1.0,Match Report
4,Odsonne Edouard,2023/2024,2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–2,Crystal Palace,Wolves,Y,"['FW', 'AM']",89,2,0,0,0,7,3,0,0,28.0,0.0,1,1.0,0.8,0.8,0.0,4.0,1.0,11.0,15.0,3.0,73.3,4.0,13.0,1.0,15.0,3.0,1.0,Match Report
2,Jean Philippe Mateta,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Away,D 1–1,Crystal Palace,Brentford,N,['FW'],20,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,0,66.7,1,4,0,3,0,0,Match Report
4,Jean Philippe Mateta,2023/2024,2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–2,Crystal Palace,Wolves,N,['FW'],20,0,2,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.7,3,2,6,7,0,85.7,1,7,0,7,0,0,Match Report
0,Bryan Mbeumo,2023/2024,2023-08-13,Sun,Premier League,Matchweek 1,Home,D 2–2,Brentford,Tottenham,Y,['FW'],90,1,0,1,1,2,1,0,0,41.0,0.0,1,0.0,1.4,0.6,0.0,1.0,1.0,22.0,33.0,1.0,66.7,6.0,25.0,1.0,33.0,1.0,0.0,Match Report
1,Bryan Mbeumo,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Away,W 3–0,Brentford,Fulham,Y,"['RW', 'FW']",90,2,0,1,1,2,2,0,0,35.0,1.0,0,1.0,1.9,1.1,0.1,2.0,0.0,20.0,28.0,0.0,71.4,2.0,23.0,2.0,28.0,0.0,0.0,Match Report
0,Yoane Wissa,2023/2024,2023-08-13,Sun,Premier League,Matchweek 1,Home,D 2–2,Brentford,Tottenham,Y,['FW'],71,1,0,0,0,3.0,2.0,0,0,31.0,1.0,1.0,4.0,0.3,0.3,0.1,2.0,0.0,12.0,18.0,1.0,66.7,3.0,12.0,2.0,18.0,1.0,1.0,Match Report
1,Yoane Wissa,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Away,W 3–0,Brentford,Fulham,Y,['FW'],78,1,0,0,0,7.0,3.0,0,0,21.0,0.0,0.0,0.0,1.4,1.4,0.0,1.0,1.0,10.0,11.0,2.0,90.9,0.0,14.0,1.0,11.0,2.0,1.0,Match Report
2,Yoane Wissa,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Home,D 1–1,Brentford,Crystal Palace,Y,['FW'],90,0,0,0,0,2.0,0.0,0,0,27.0,0.0,0.0,1.0,0.3,0.3,0.0,0.0,0.0,9.0,15.0,1.0,60.0,0.0,13.0,1.0,15.0,1.0,0.0,Match Report
4,Yoane Wissa,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Home,D 2–2,Brentford,Bournemouth,Y,['FW'],90,0,0,0,0,3.0,0.0,0,0,28.0,1.0,0.0,1.0,0.4,0.4,0.0,2.0,0.0,11.0,13.0,1.0,84.6,1.0,13.0,2.0,13.0,1.0,0.0,Match Report
0,Kevin Schade,2023/2024,2023-08-13,Sun,Premier League,Matchweek 1,Home,D 2–2,Brentford,Tottenham,N,['FW'],19,0,0,0,0,1.0,0.0,0,0,5.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,Match Report
1,Mikkel Damsgaard,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Away,W 3–0,Brentford,Fulham,N,['FW'],12,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,0,2,1,0.0,0,4,0,2,1,0,Match Report
4,Keane Lewis Potter,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Home,D 2–2,Brentford,Bournemouth,N,"['FW', 'LW']",20,0,0,0,0,2,0,0,0,11,0,0,0,0.5,0.5,0.0,0,0,7,7,2,100.0,0,8,0,7,2,1,Match Report
0,Taiwo Awoniyi,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Away,L 1–2,Nott'ham Forest,Arsenal,N,"['FW', 'LW']",20,1,0,0,0,1,1,0,0,10.0,0.0,0,0.0,0.6,0.6,0.0,1.0,1.0,3.0,5.0,0.0,60.0,0.0,5.0,0.0,5.0,0.0,0.0,Match Report
1,Taiwo Awoniyi,2023/2024,2023-08-18,Fri,Premier League,Matchweek 2,Home,W 2–1,Nott'ham Forest,Sheffield Utd,Y,['FW'],83,1,0,0,0,1,1,0,0,21.0,0.0,0,1.0,0.3,0.3,0.1,3.0,0.0,10.0,12.0,3.0,83.3,3.0,13.0,0.0,12.0,3.0,2.0,Match Report
2,Taiwo Awoniyi,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Away,L 2–3,Nott'ham Forest,Manchester Utd,Y,['FW'],80,1,0,0,0,3,1,0,0,33.0,0.0,0,0.0,0.7,0.7,0.0,1.0,1.0,14.0,22.0,2.0,63.6,1.0,19.0,1.0,22.0,2.0,2.0,Match Report
4,Taiwo Awoniyi,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Away,W 1–0,Nott'ham Forest,Chelsea,Y,['FW'],64,0,1,0,0,2,0,0,0,23.0,1.0,0,1.0,0.2,0.2,0.4,3.0,1.0,6.0,15.0,0.0,40.0,2.0,13.0,2.0,15.0,0.0,0.0,Match Report
0,Brennan Johnson,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Away,L 1–2,Nott'ham Forest,Arsenal,Y,"['FW', 'RW']",79,0,0,0,0,1.0,0.0,0,0,15.0,1.0,0.0,2.0,0.3,0.3,0.0,0.0,0.0,6.0,6.0,2.0,100.0,0.0,11.0,1.0,6.0,2.0,0.0,Match Report
0,Chris Wood,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Away,L 1–2,Nott'ham Forest,Arsenal,N,['FW'],1,0,0,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Match Report
1,Chris Wood,2023/2024,2023-08-18,Fri,Premier League,Matchweek 2,Home,W 2–1,Nott'ham Forest,Sheffield Utd,N,['FW'],7,1,0,0,0,1,1,0,0,7.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,3.0,5.0,0.0,60.0,0.0,5.0,0.0,5.0,0.0,0.0,Match Report
2,Chris Wood,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Away,L 2–3,Nott'ham Forest,Manchester Utd,N,['FW'],10,0,0,0,0,0,0,0,0,9.0,0.0,1,0.0,0.0,0.0,0.1,1.0,0.0,4.0,8.0,0.0,50.0,0.0,4.0,1.0,8.0,0.0,0.0,Match Report
4,Chris Wood,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Away,W 1–0,Nott'ham Forest,Chelsea,N,['FW'],26,0,0,0,0,0,0,0,0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,60.0,1.0,3.0,0.0,5.0,0.0,0.0,Match Report
0,Ollie Watkins,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Away,L 1–5,Aston Villa,Newcastle Utd,Y,['FW'],90,0,1,0,0,2.0,1.0,0,0,27.0,1.0,0.0,1.0,0.3,0.3,0.2,3.0,1.0,15.0,18.0,3.0,83.3,2.0,15.0,1.0,18.0,3.0,2.0,Match Report
1,Ollie Watkins,2023/2024,2023-08-20,Sun,Premier League,Matchweek 2,Home,W 4–0,Aston Villa,Everton,Y,['FW'],73,0,0,0,0,1.0,0.0,0,0,17.0,1.0,0.0,0.0,0.3,0.3,0.1,4.0,1.0,9.0,9.0,1.0,100.0,0.0,15.0,2.0,9.0,1.0,0.0,Match Report
3,Ollie Watkins,2023/2024,2023-08-27,Sun,Premier League,Matchweek 3,Away,W 3–1,Aston Villa,Burnley,Y,['FW'],85,0,1,0,0,5.0,2.0,0,0,30.0,0.0,0.0,0.0,0.9,0.9,0.9,4.0,1.0,15.0,20.0,1.0,75.0,0.0,15.0,2.0,20.0,1.0,0.0,Match Report
5,Ollie Watkins,2023/2024,2023-09-03,Sun,Premier League,Matchweek 4,Away,L 0–3,Aston Villa,Liverpool,Y,['FW'],72,0,0,0,0,2.0,0.0,0,0,17.0,0.0,0.0,1.0,0.2,0.2,0.1,1.0,0.0,7.0,9.0,0.0,77.8,1.0,8.0,0.0,9.0,0.0,0.0,Match Report
0,Moussa Diaby,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Away,L 1–5,Aston Villa,Newcastle Utd,Y,"['AM', 'FW', 'RW']",86,1,0,0,0,3,2,0,0,30,1,0,0,0.3,0.3,0.3,4,0,21,24,2,87.5,5,21,5,24,2,2,Match Report
5,Moussa Diaby,2023/2024,2023-09-03,Sun,Premier League,Matchweek 4,Away,L 0–3,Aston Villa,Liverpool,Y,['FW'],90,0,0,0,0,1,0,0,0,29,0,1,0,0.1,0.1,0.1,2,0,18,21,5,85.7,3,13,2,21,5,1,Match Report
0,Jhon Duran,2023/2024,2023-08-20,Sun,Premier League,Matchweek 2,Home,W 4–0,Aston Villa,Everton,N,['FW'],17,1,0,0,0,1.0,1.0,0,0,12.0,1.0,0.0,0.0,0.5,0.5,0.0,2.0,1.0,7.0,9.0,1.0,77.8,0.0,5.0,1.0,9.0,1.0,1.0,Match Report
2,Jhon Duran,2023/2024,2023-08-27,Sun,Premier League,Matchweek 3,Away,W 3–1,Aston Villa,Burnley,N,['FW'],5,0,0,0,0,0.0,0.0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,50.0,0.0,1.0,1.0,2.0,0.0,0.0,Match Report
4,Jhon Duran,2023/2024,2023-09-03,Sun,Premier League,Matchweek 4,Away,L 0–3,Aston Villa,Liverpool,N,['FW'],18,0,0,0,0,2.0,0.0,0,0,8.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,3.0,5.0,0.0,60.0,1.0,6.0,2.0,5.0,0.0,0.0,Match Report
0,Philippe Coutinho,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Away,L 1–5,Aston Villa,Newcastle Utd,N,['FW'],4,0,0,0,0,1,0,0,0,11,0,0,0,0.1,0.1,0.0,1,0,7,9,1,77.8,1,6,3,9,1,1,Match Report
3,Cameron Archer,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Home,D 2–2,Sheffield Utd,Everton,Y,['FW'],74,1,0,0,0,2,1,0,0,14,0,0,0,0.2,0.2,0.0,0,0,6,6,2,100.0,0,13,1,6,2,1,Match Report
0,Marcus Rashford,2023/2024,2023-08-14,Mon,Premier League,Matchweek 1,Home,W 1–0,Manchester Utd,Wolves,Y,['FW'],87,0,0,0,0,4,1,0,0,31.0,0.0,0,1.0,0.4,0.4,0.0,1.0,0.0,13.0,15.0,8.0,86.7,2.0,24.0,2.0,15.0,8.0,4.0,Match Report
