,name,season,Date_x,Day_x,Comp,Round,Venue_x,Result_x,Squad,Opponent_x,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_x,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,Date_y,Time,Day_y,Venue_y,Result_y,GF,GA,Opponent_y,xG_y,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,team_name
1020,Cameron Archer,2023/2024,2023-08-20,Sun,Premier League,Matchweek 2,Home,W 4–0,Aston Villa,Everton,N,['AM'],6,0,0,0,0,0,0,1,0,7,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,5,1,0,0,,,,,,,,,,,,,,,,,,,,2023-08-19,20:00,Sat,Home,W,1.0,0.0,Newcastle Utd,1.0,0.3,59.0,,Kyle Walker,4-2-3-1,Robert Jones,Match Report,,Aston Villa 
1021,Cameron Archer,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Home,D 2–2,Sheffield Utd,Everton,Y,['FW'],74,1,0,0,0,2,1,0,0,14,0,0,0,0.2,0.2,0.0,0,0,6,6,100.0,0,13,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,Luke Thomas,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Home,D 2–2,Sheffield Utd,Everton,N,['WB'],23,0,0,0,0,1,1,0,0,11,1,0,0,0.2,0.2,0.0,1,0,6,9,66.7,0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,Andre Brooks,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Home,L 0–1,Sheffield Utd,Crystal Palace,N,['LW'],4,0,0,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.0,0,0,8,9,88.9,0,6,0,0,0,Andre,Brooks,0.0,0.0,2.0,19.0,1.0,1.0,2.8,2.0,0.0,6.0,0.6,0.0,0.0,0.0,0.0,45.0,MID,,,,,,,,,,,,,,,,,,
1024,Andre Brooks,2023/2024,2023-08-18,Fri,Premier League,Matchweek 2,Away,L 1–2,Sheffield Utd,Nott'ham Forest,N,['AM'],17,0,0,0,0,0,0,0,0,9,0,1,0,0.0,0.0,0.0,0,0,4,5,80.0,0,2,0,0,0,Andre,Brooks,0.0,0.0,2.0,19.0,1.0,1.0,2.8,2.0,0.0,6.0,0.6,0.0,0.0,0.0,0.0,45.0,MID,,,,,,,,,,,,,,,,,,
1025,Jayden Bogle,2023/2024,2023-08-27,Sun,Premier League,Matchweek 3,Home,L 1–2,Sheffield Utd,Manchester City,N,['WB'],20,1,0,0,0,1,1,0,0,11,1,0,0,0.1,0.1,0.0,0,0,6,7,85.7,0,3,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,Antwoine Hackford,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Home,L 0–1,Sheffield Utd,Crystal Palace,N,['RW'],4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,Antwoine Hackford,2023/2024,2023-08-18,Fri,Premier League,Matchweek 2,Away,L 1–2,Sheffield Utd,Nott'ham Forest,N,['FW'],9,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,3,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,Anis Ben Slimane,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Home,L 0–1,Sheffield Utd,Crystal Palace,N,"['CM', 'CB']",11,0,0,0,0,0,0,1,0,6,0,1,0,0.0,0.0,0.0,0,0,0,2,0.0,0,4,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,Amadou Onana,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Home,L 0–1,Everton,Fulham,Y,['CM'],90,0,0,0,0,1,1,0,0,38.0,0.0,1,1.0,0.1,0.1,1.1,5.0,0.0,27.0,32.0,84.4,4.0,25.0,2.0,0.0,0.0,Amadou,Onana,0.0,0.0,8.0,360.0,8.0,63.3,37.6,28.0,0.0,61.0,13.0,0.0,0.0,0.0,0.2,49.0,MID,2023-08-11,20:00,Fri,Away,W,3.0,0.0,Burnley,1.9,0.3,65.0,21572.0,Kevin De Bruyne,4-2-3-1,Craig Pawson,Match Report,,Everton 
1030,Amadou Onana,2023/2024,2023-08-20,Sun,Premier League,Matchweek 2,Away,L 0–4,Everton,Aston Villa,Y,"['CM', 'DM']",90,0,0,0,0,0,0,0,0,53.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,35.0,42.0,83.3,5.0,32.0,0.0,0.0,0.0,Amadou,Onana,0.0,0.0,8.0,360.0,8.0,63.3,37.6,28.0,0.0,61.0,13.0,0.0,0.0,0.0,0.2,49.0,MID,2023-08-19,20:00,Sat,Home,W,1.0,0.0,Newcastle Utd,1.0,0.3,59.0,,Kyle Walker,4-2-3-1,Robert Jones,Match Report,,Everton 
1031,Amadou Onana,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Home,L 0–1,Everton,Wolves,Y,['CM'],90,0,0,0,0,1,0,0,0,44.0,4.0,1,0.0,0.1,0.1,0.2,2.0,0.0,31.0,37.0,83.8,6.0,26.0,0.0,1.0,1.0,Amadou,Onana,0.0,0.0,8.0,360.0,8.0,63.3,37.6,28.0,0.0,61.0,13.0,0.0,0.0,0.0,0.2,49.0,MID,2023-08-27,14:00,Sun,Away,W,2.0,1.0,Sheffield Utd,3.5,0.7,79.0,31336.0,Kyle Walker,4-2-3-1,Jarred Gillett,Match Report,,Everton 
1032,Amadou Onana,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Away,D 2–2,Everton,Sheffield Utd,Y,['CM'],90,0,0,0,0,1,0,0,0,55.0,2.0,0,1.0,0.0,0.0,0.8,3.0,0.0,37.0,47.0,78.7,6.0,34.0,3.0,0.0,0.0,Amadou,Onana,0.0,0.0,8.0,360.0,8.0,63.3,37.6,28.0,0.0,61.0,13.0,0.0,0.0,0.0,0.2,49.0,MID,2023-09-02,15:00,Sat,Home,W,5.0,1.0,Fulham,2.2,1.4,68.0,52899.0,Kyle Walker,4-2-3-1,Michael Oliver,Match Report,,Everton 
1033,Nathan Patterson,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Home,L 0–1,Everton,Fulham,Y,['RB'],90,0,0,0,0,3.0,0.0,0,0,70.0,2.0,1.0,2.0,0.3,0.3,0.0,0.0,0.0,32.0,56.0,57.1,2.0,24.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,2023-08-11,20:00,Fri,Away,W,3.0,0.0,Burnley,1.9,0.3,65.0,21572.0,Kevin De Bruyne,4-2-3-1,Craig Pawson,Match Report,,Everton 
1034,Nathan Patterson,2023/2024,2023-08-20,Sun,Premier League,Matchweek 2,Away,L 0–4,Everton,Aston Villa,Y,['RB'],90,0,0,0,0,1.0,0.0,1,0,60.0,4.0,1.0,0.0,0.0,0.0,0.1,2.0,0.0,40.0,52.0,76.9,2.0,32.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,2023-08-19,20:00,Sat,Home,W,1.0,0.0,Newcastle Utd,1.0,0.3,59.0,,Kyle Walker,4-2-3-1,Robert Jones,Match Report,,Everton 
