,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,MP
1,Andrew Robertson,sct SCO,DF,29-182,,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,5.0,25.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,4.0
2,Dominik Szoboszlai,hu HUN,MF,22-319,,4,360.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.8,9.0,15.0,20.0,0.25,0.0,0.25,0.25,0.25,0.07,0.13,0.2,0.07,0.2,Matches,4.0
3,Mohamed Salah,eg EGY,FW,31-086,,4,341.0,3.8,2.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,2.5,1.5,1.3,2.9,8.0,12.0,23.0,0.53,0.53,1.06,0.53,1.06,0.66,0.36,1.01,0.41,0.76,Matches,4.0
4,Trent Alexander-Arnold,eng ENG,DF,24-337,,4,324.0,3.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.8,1.0,13.0,17.0,7.0,0.0,0.28,0.28,0.0,0.28,0.05,0.23,0.29,0.05,0.29,Matches,4.0
5,Alexis Mac Allister,ar ARG,MF,24-259,,4,309.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,4.0
6,Luis Díaz,co COL,FW,26-239,,4,257.0,2.9,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.4,1.4,0.3,1.7,12.0,6.0,23.0,0.7,0.0,0.7,0.7,0.7,0.47,0.12,0.59,0.47,0.59,Matches,4.0
7,Cody Gakpo,nl NED,"MF,FW",24-125,,3,210.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,6.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.1,0.08,0.18,0.1,0.18,Matches,4.0
8,Virgil van Dijk,nl NED,DF,32-063,,3,207.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,0.1,0.3,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.14,0.1,0.14,Matches,3.0
9,Diogo Jota,pt POR,"FW,MF",26-279,,2,199.0,2.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.3,1.1,12.0,4.0,23.0,0.45,0.0,0.45,0.45,0.45,0.34,0.15,0.49,0.34,0.49,Matches,4.0
10,Ibrahima Konaté,fr FRA,DF,24-107,,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,2.0
11,Joël Matip,cm CMR,DF,32-032,,2,166.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.5,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.02,0.24,0.22,0.24,Matches,2.0
12,Joe Gomez,eng ENG,DF,26-109,,1,164.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.05,0.03,0.05,Matches,3.0
13,Darwin Núñez,uy URU,FW,24-077,,1,108.0,1.2,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.6,1.6,0.5,2.1,3.0,5.0,10.0,1.67,0.83,2.5,1.67,2.5,1.34,0.42,1.76,1.34,1.76,Matches,4.0
14,Wataru Endo,jp JPN,MF,30-212,,1,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,3.0
